"Trial","DAP","Plot","Row","Range","Gen","Yield","VineMaturity","Red","Green","Blue","NGRDI","BGI","GLI","PH","Volume","Canopy","GLI_2"
"HARS_2020",29,1,1,1,"W17037-24",398.05975,3,,,,,,,,0,0,0.00272158952429891
"HARS_2020",36,1,1,1,"W17037-24",398.05975,3,86.6086959838867,93.3913040161133,60.4130439758301,0.0386870056390762,0.643446326255798,0.120927073061466,0.0153543222695589,0.000409112690249458,0.67,-0.000896594836376607
"HARS_2020",42,1,1,1,"W17037-24",398.05975,3,92.1336898803711,116.44367980957,71.6885375976562,0.128685608506203,0.596607804298401,0.189309686422348,0.0173420403152704,0.0104255378246307,15.114,0.0322547256946564
"HARS_2020",56,1,1,1,"W17037-24",398.05975,3,48.6915512084961,70.4085845947266,37.4209671020508,0.206865400075912,0.507540941238403,0.266440033912659,0.0940646678209305,0.289487570524216,77.385,0.215930268168449
"HARS_2020",76,1,1,1,"W17037-24",398.05975,3,42.1513023376465,68.4184112548828,33.6565017700195,0.283905506134033,0.450215429067612,0.335005700588226,0.456036180257797,1.80994117259979,99.811,0.334561944007874
"HARS_2020",92,1,1,1,"W17037-24",398.05975,3,51.9834213256836,77.4910049438477,39.4027481079102,0.208063051104546,0.495139271020889,0.270538508892059,0.276130020618439,1.07311367988586,97.744,0.266157031059265
"HARS_2020",100,1,1,1,"W17037-24",398.05975,3,68.5023345947266,86.4318695068359,48.0032501220703,0.139147043228149,0.517211735248566,0.225356310606003,0.0677516385912895,0.227290719747543,84.378,0.198606073856354
"HARS_2020",108,1,1,1,"W17037-24",398.05975,3,64.0753021240234,79.8495712280273,46.3643989562988,0.13432215154171,0.531120657920837,0.218353122472763,0.399809688329697,1.1893721818924,74.803,0.174736022949219
"HARS_2020",29,2,2,1,"W17066-22",516.40985,5,,,,,,,,0,0,0.000199197049369104
"HARS_2020",36,2,2,1,"W17066-22",516.40985,5,78.1596908569336,86.5906982421875,55.8108520507812,0.0544642321765423,0.63028484582901,0.135030224919319,0.0132318064570427,0.00247174128890038,4.696,0.00364194554276764
"HARS_2020",42,2,2,1,"W17066-22",516.40985,5,78.2932510375977,104.238700866699,60.9665451049805,0.153308361768723,0.55938845872879,0.216559186577797,0.0197097565978765,0.0192529503256083,24.583,0.0540470071136951
"HARS_2020",56,2,2,1,"W17066-22",516.40985,5,44.7696151733398,67.6608734130859,34.8495025634766,0.22775262594223,0.494291841983795,0.283158361911774,-0.0509321466088295,-0.166091710329056,82.083,0.23983371257782
"HARS_2020",76,2,2,1,"W17066-22",516.40985,5,45.893856048584,78.5317077636719,36.0993003845215,0.306429505348206,0.416516214609146,0.363407582044601,0.495722681283951,1.97111880779266,100,0.363407582044601
"HARS_2020",92,2,2,1,"W17066-22",516.40985,5,49.7958488464355,77.6726684570312,37.0252456665039,0.227313697338104,0.462177306413651,0.294898629188538,0.271038681268692,1.07086610794067,99.364,0.293536186218262
"HARS_2020",100,2,2,1,"W17066-22",516.40985,5,63.4777908325195,83.0054702758789,43.5913200378418,0.158182770013809,0.482636630535126,0.250227361917496,0.065056174993515,0.243709221482277,94.203,0.240195363759995
"HARS_2020",108,2,2,1,"W17066-22",516.40985,5,54.2562637329102,71.5535278320312,38.9702072143555,0.16841034591198,0.491584897041321,0.254081577062607,0.369781076908112,1.41440606117249,96.217,0.247278973460197
"HARS_2020",29,3,3,1,"W16091-5",504.83015,4,,,,,,,,0,0,0.00289689190685749
"HARS_2020",36,3,3,1,"W16091-5",504.83015,4,74.2877502441406,91.4868545532227,54.7370414733887,0.112747006118298,0.578652322292328,0.186556398868561,0.0256818141788244,0.00989985838532448,9.696,0.0207815263420343
"HARS_2020",42,3,3,1,"W16091-5",504.83015,4,73.96533203125,103.737495422363,59.6002960205078,0.180347576737404,0.55110490322113,0.234659433364868,0.0566711574792862,0.0673701763153076,29.889,0.074697844684124
"HARS_2020",56,3,3,1,"W16091-5",504.83015,4,46.6349830627441,70.8795471191406,34.5996589660645,0.229447096586227,0.467452615499496,0.295022994279861,-0.0894757956266403,-0.304819613695145,85.655,0.258878707885742
"HARS_2020",76,3,3,1,"W16091-5",504.83015,4,43.1914863586426,78.8121490478516,34.19775390625,0.33277627825737,0.398073971271515,0.385621041059494,0.442049533128738,1.75770056247711,100,0.385621041059494
"HARS_2020",92,3,3,1,"W16091-5",504.83015,4,52.4462203979492,85.0675201416016,38.4583511352539,0.243222400546074,0.440792411565781,0.312583297491074,0.241443738341331,0.960040330886841,100.014,0.312583297491074
"HARS_2020",100,3,3,1,"W16091-5",504.83015,4,67.9175109863281,88.5953521728516,45.1730499267578,0.152060061693192,0.470030337572098,0.251159429550171,0.0516403093934059,0.19570754468441,95.323,0.243115246295929
"HARS_2020",108,3,3,1,"W16091-5",504.83015,4,62.8961944580078,78.4243927001953,41.9399528503418,0.130818441510201,0.484364658594131,0.233855575323105,0.324144273996353,1.16433417797089,90.313,0.219387233257294
"HARS_2020",29,4,4,1,"W17037-26",363.56265,4,,,,,,,,0,0,0.00204116036184132
"HARS_2020",36,4,4,1,"W17037-26",363.56265,4,,,,,,,,0,0,-0.00525089586153626
"HARS_2020",42,4,4,1,"W17037-26",363.56265,4,87.3769073486328,108.977485656738,66.7741470336914,0.123122945427895,0.589766085147858,0.188720598816872,-0.0160466395318508,-0.00650516431778669,10.198,0.0204719919711351
"HARS_2020",56,4,4,1,"W17037-26",363.56265,4,45.7390098571777,68.2242584228516,34.790470123291,0.22245842218399,0.485920161008835,0.283932566642761,0.0163003001362085,0.0412461794912815,63.676,0.190883740782738
